EMP5624_E[0].Page1[0].Yes_business[0]	IsPositionInGlobalTalentListNo
EMP5624_E[0].Page1[0].No_business[0]	IsPositionInGlobalTalentListYes
EMP5624_E[0].Page1[0].Yes_inn[0]	IsInnovativeEmployerRefferedbyESDCDesigPartnerYes
EMP5624_E[0].Page1[0].No_inn[0]	IsInnovativeEmployerRefferedbyESDCDesigPartnerNo
EMP5624_E[0].Page1[0].txtF_des_part[0]	ESDCDesigRefPartnerOrgName
EMP5624_E[0].Page1[0].txtF_first_name[0]	ESDCDesigRefPartnerFirstName
EMP5624_E[0].Page1[0].txtF_mid_name[0]	ESDCDesigRefPartnerMiddleName
EMP5624_E[0].Page1[0].txtF_last_name[0]	ESDCDesigRefPartnerLastName
EMP5624_E[0].Page1[0].txtF_phone_number[0]	ESDCDesigRefPartnerPhone
EMP5624_E[0].Page1[0].txtF_alternate_phone[0]	ESDCDesigRefPartnerAltPhone
EMP5624_E[0].Page1[0].txtF_fax_number[0]	ESDCDesigRefPartnerFax
EMP5624_E[0].Page1[0].txtF_Email[0]	ESDCDesigRefPartnerEmail
EMP5624_E[0].Page1[0].rb_language_oral[0]	ESDCDesigRefPartnerPreferredLangOral
EMP5624_E[0].Page1[0].rb_language_written[0]	ESDCDesigRefPartnerPreferredLangWritten
EMP5624_E[0].Page1[0].txtF_first_name2[0]	ESDCDesigAltRefPartnerFirstName
EMP5624_E[0].Page1[0].txtF_mid_name2[0]	ESDCDesigAltRefPartnerMiddleName
EMP5624_E[0].Page1[0].txtF_last_name2[0]	ESDCDesigAltRefPartnerLastName
EMP5624_E[0].Page1[0].txtF_phone_number2[0]	ESDCDesigAltRefPartnerPhone
EMP5624_E[0].Page1[0].txtF_alternate_phone2[0]	ESDCDesigAltRefPartnerAltPhone
EMP5624_E[0].Page1[0].txtF_fax_number2[0]	ESDCDesigAltRefPartnerFax
EMP5624_E[0].Page1[0].txtF_Email2[0]	ESDCDesigAltRefPartnerEmail
EMP5624_E[0].Page1[0].rb_language_oral2[0]	ESDCDesigAltRefPartnerPreferredLangOral
EMP5624_E[0].Page1[0].rb_language_written2[0]	ESDCDesigAltRefPartnerPreferredLangWritten
EMP5624_E[0].Page2[0].txtF_Emp_Legal[0]	EmployerBusinessLegalName
EMP5624_E[0].Page2[0].txtF_Mail_Adress1[0]	EmployerBusinessAddressLine1
EMP5624_E[0].Page2[0].txtF_Mail_Adress2[0]	EmployerBusinessAddressLine2
EMP5624_E[0].Page2[0].txtF_City[0]	EmployerBusinessCity
EMP5624_E[0].Page2[0].txtF_Province[0]	EmployerBusinessProvince
EMP5624_E[0].Page2[0].txtF_Country[0]	EmployerBusinessCountry
EMP5624_E[0].Page2[0].txtF_Postal_Code[0]	EmployerBusinessPostalCode
EMP5624_E[0].Page2[0].txtF_Mail_Adress2-1[0]	EmployerBusinessMailAddressLine1
EMP5624_E[0].Page2[0].txtF_Mail_Adress2-2[0]	EmployerBusinessMailAddressLine2
EMP5624_E[0].Page2[0].txtF_City2[0]	EmployerBusinessMailCity
EMP5624_E[0].Page2[0].txtF_Province2[0]	EmployerBusinessMailProvince
EMP5624_E[0].Page2[0].txtF_Country2[0]	EmployerBusinessMailCountry
EMP5624_E[0].Page2[0].txtF_Postal_Code2[0]	EmployerBusinessMailPostalCode
EMP5624_E[0].Page2[0].txtF_Employer_Web_Address[0]	EmployerBusinessWebsite
EMP5624_E[0].Page2[0].txtF_Employer_Date_Business[0]	EmployerBusinessStartDate
EMP5624_E[0].Page2[0].cb_individual[0]	EmployerOrgTypeCorporation
EMP5624_E[0].Page2[0].cb_partnership[0]	EmployerOrgTypePartnership
EMP5624_E[0].Page2[0].cb_society[0]	EmployerOrgTypeCooperative
EMP5624_E[0].Page2[0].cb_sole_propietor[0]	EmployerOrgTypeSoleProprietorship
EMP5624_E[0].Page2[0].cb_not_profit[0]	EmployerOrgTypeNotProfit
EMP5624_E[0].Page2[0].cb_registred[0]	EmployerOrgTypeRegisteredCharity
EMP5624_E[0].Page2[0].txtF_amout_employees[0]	EmployerEmployeeEmployedNumber
EMP5624_E[0].Page2[0].txtF_business_revenu[0]	EmployerAnnualGrossRevenue
EMP5624_E[0].Page2[0].rb_receive_prog[0]	EmployerESDCSupportedYesOrNo
EMP5624_E[0].Page2[0].txtF_If_Yes2[0]	EmployerESDCSupportedDetailsIfYes
